bidNtceNo,bidNtceOrd,bidClsfcNo,rbidNo,ntceDivCd,bidNtceNm,prtcptCnum,bidwinnrNm,bidwinnrBizno,bidwinnrCeoNm,bidwinnrAdrs,bidwinnrTelNo,sucsfbidAmt,sucsfbidRate,rlOpengDt,dminsttCd,dminsttNm,rgstDt,fnlSucsfDate,fnlSucsfCorpOfcl
20220120552,000,0,000,통050001,2022년 배수불량지역 기계준설공사(연간단가),34,에이스건설 주식회사,3148655499,전운서,대전광역시 동구 태전로153번길 44-0 (삼성동),042-221-8417,351751370,88.496,2022-01-28 11:00:00,3660000,대전광역시 서구,2022-02-11 10:37:33,2022-02-11,
20220127219,000,0,000,통050001,2022년 하수도 연간단가 준설공사,30,유한회사태양건설,4028141905,김성열,"대전광역시 서구 둔산대로117번길 44, 엑스포오피스텔 1017호 (만년동)",042-826-4800,86976810,87.787,2022-02-04 11:00:00,3650000,대전광역시 중구,2022-02-08 11:05:38,2022-02-08,
20220117022,000,0,000,통050001,2022년 관내2구역 하수도 준설공사(연간단가),27,덕성이엔지 주식회사,6158136274,두병록,"대전광역시 동구 산서로1586번길 54,1층 (대별동)",042-522-5965,43997220,87.994,2022-01-25 11:00:00,3640000,대전광역시 동구,2022-02-03 12:51:43,2022-02-03,
20220116997,000,0,000,통050001,2022년 관내1구역 하수도 준설공사(연간단가),28,(주)크린텍,3158133251,김진석,"대전광역시 서구 둔산대로117번길 44, 엑스포오피스텔1차301호 (만년동)",042-524-9400,44022000,87.782,2022-01-25 11:00:00,3640000,대전광역시 동구,2022-02-03 13:17:14,2022-02-03,
20220113806,000,0,000,통050001,송촌정수장 1~2단계 배수관로 유출조절밸브 설치공사,189,주식회사 신삼양기업사,4168164440,안성호,"경기도 김포시 김포한강8로148번길 125-0 (마산동),1층",***********,667676929,88.429,2022-01-25 11:00:00,6300309,대전광역시 상수도사업본부,2022-02-03 08:52:20,2022-02-03,
20220128242,000,0,000,통050001,2022년 하수도 연간단가 긴급수선공사(서부지역),224,다원종합건설 주식회사,3138800511,송준호,"대전광역시 서구 문정로9번길 37, 4층 (둔산동,다원빌딩)",042-482-9100,269083000,88.972,2022-02-04 11:00:00,3650000,대전광역시 중구,2022-02-10 10:49:28,2022-02-10,
20220128154,000,0,000,통050001,2022년 하수도 연간단가 긴급수선공사(동부지역),224,나성산업개발(주),2278106646,김용관,"대전광역시 중구 계백로 1605, 3층 302호 (유천동)",042-581-9811,273399780,88.484,2022-02-04 11:00:00,3650000,대전광역시 중구,2022-02-10 10:43:24,2022-02-10,
20220201169,000,0,000,통050001,2022년 하수처리구역 외 하수도 수선공사(연간단가),175,채운건설 주식회사,4088145438,이장희,"대전광역시 중구 보문로 111, 3층(부사동)",042-282-0605,164921200,87.75,2022-02-09 11:00:00,3670000,대전광역시 유성구,2022-02-09 14:33:24,2022-02-09,
20220224803,000,0,000,통050001,2022년 지하차도 배수로 준설공사,37,민우건설(주),3028113905,김만귀,"대전광역시 유성구 노은서로266번길 61, 계룡리슈빌스카이지하층 비03호 (지족동)",042-535-1338,78975280,87.829,2022-02-24 11:00:00,3660000,대전광역시 서구,2022-02-24 11:56:47,2022-02-24,
20220217247,000,0,000,통050001,2022년 하수 BOX 준설공사,138,(유) 태안건설,3108107888,김유성,대전광역시 대덕구 신탄진로162번길 156-0 (연축동),042-535-1338,84346270,87.773,2022-02-21 11:00:00,3640000,대전광역시 동구,2022-02-22 10:28:52,2022-02-22,
